iteration;max_coeff;min_coeff;constant;LB;UB;med1;med2;med3;med4;med5
235;-;-;-;750.33;816.0;24;25;29;47;48
236;-;-;-;750.33;825.0;24;25;33;34;48
237;-;-;-;750.33;848.0;28;29;33;38;48
238;-;-;-;750.37;914.0;5;16;20;28;38
239;-;-;-;750.37;925.0;5;16;20;24;25
240;-;-;-;750.44;785.0;10;20;28;35;38
241;-;-;-;750.44;836.0;13;20;28;38;40
242;-;-;-;750.5;784.0;10;15;23;38;48
243;-;-;-;750.5;759.0;15;20;26;39;48
244;-;-;-;750.67;831.0;25;28;33;34;35
245;-;-;-;750.67;820.0;15;25;33;34;48
246;-;-;-;750.67;830.0;14;26;28;35;47
247;-;-;-;750.67;803.0;15;31;34;38;48
248;-;-;-;750.67;840.0;26;28;33;34;40
249;-;-;-;750.67;819.0;25;28;29;35;47
250;-;-;-;750.68;888.0;3;16;24;35;38
251;-;-;-;750.68;813.0;25;28;31;36;48
252;-;-;-;750.69;881.0;15;17;25;33;48
253;-;-;-;750.74;754.0;12;15;20;38;48
254;-;-;-;750.79;792.0;11;15;26;41;48
255;-;-;-;750.82;930.0;3;16;24;25;40
256;-;-;-;750.84;808.0;24;31;34;38;48
257;-;-;-;750.85;759.0;20;24;25;46;48
258;-;-;-;750.89;827.0;5;34;38;41;48
259;-;-;-;750.91;761.0;15;20;25;41;48
260;-;-;-;750.94;784.0;3;13;24;38;48
261;-;-;-;750.94;786.0;3;13;25;28;48
262;-;-;-;750.94;804.0;34;38;47;48;49
263;-;-;-;750.99;825.0;28;31;34;35;38
264;-;-;-;751.0;781.0;7;20;24;26;46
265;-;-;-;751.0;751.0;15;20;38;39;48
